Dublin Core:Title,Dublin Core:Identifier,File,Dublin Core:Creator,Dublin Core:Date,Dublin Core:County,Dublin Core:Subject,Dublin Core: State,Dublin Core:Rights,Dublin Core:Format,Item Type Metadata:Physical Dimensions,Dublin Core:Language,Item Type,Dublin Core:Coverage,geolocation:latitude,geolocation:longitude,geolocation:zoom_level,geolocation:map_type,geolocation:address
"Cincinnati, Ohio by Kim Reeves",369,http://mappalachia.org/pictures/gallery/full_size/map_369.jpg,Kim Reeves,1991,Hamilton,Cincinnati,Ohio,Rights Reserved by: Kim Reeves,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,39.1031182,-84.5120196,10,,
"Thomas, W.Va. by Harry Wolford",370,http://mappalachia.org/pictures/gallery/full_size/map_370.jpg,Harry Wolford,1961,Tucker,Thomas,W.Va.,Rights Reserved by: Harry Wolford,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,39.1489967,-79.498109,10,,
"Spring Hill, W.Va. by Kim Hartwell",371,http://mappalachia.org/pictures/gallery/full_size/map_371.jpg,Kim Hartwell,1991,Kanawha,Spring Hill,W.Va.,Rights Reserved by: Kim Hartwell,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,38.3545399,-81.7312372,10,,
"Berea, Ky. by Harvey",372,http://mappalachia.org/pictures/gallery/full_size/map_372.jpg,Harvey,,Madison,Berea,Ky.,Rights Reserved by: Harvey,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.568694,-84.2963223,10,,
"Willis Creek, Ky. by Hazel Dicken",374,http://mappalachia.org/pictures/gallery/full_size/map_374.jpg,Hazel Dicken,1957,Clinton,Willis Creek,Ky.,Rights Reserved by: Hazel Dicken,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.8142312,-85.2219034,10,,
"Logan, W.Va. by Crystal Spears",375,http://mappalachia.org/pictures/gallery/full_size/map_375.jpg,Crystal Spears,1991,Logan,Logan,W.Va.,Rights Reserved by: Crystal Spears,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.8487147,-81.9934581,10,,
"Happy, Ky. by Helen Combs",376,http://mappalachia.org/pictures/gallery/full_size/map_376.jpg,Helen Combs,,Perry,Happy,Ky.,Rights Reserved by: Helen Combs,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.2039848,-83.0965566,10,,
"East Lynn, Ky. by Henry Perry",377,http://mappalachia.org/pictures/gallery/full_size/map_377.jpg,Henry Perry,1960,Wayne,East Lynn,Ky.,Rights Reserved by: Henry Perry,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,38.1625515,-82.3833467,10,,
"Harpers Ferry, W.Va. by Herbert Harrison",378,http://mappalachia.org/pictures/gallery/full_size/map_378.jpg,Herbert Harrison,,Jefferson,Harpers Ferry,W.Va.,Rights Reserved by: Herbert Harrison,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,39.3253786,-77.7388818,10,,
"North Wilkesboro, N.C. by Jenny Nelson",379,http://mappalachia.org/pictures/gallery/full_size/map_379.jpg,Jenny Nelson,1991,Wilkes,North Wilkesboro,N.C.,Rights Reserved by: Jenny Nelson,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.1584651,-81.1475841,10,,
